id,resistance,voltage,test_time,result
1,558.0850535176011,500.0,2024-01-01 08:00:00,PASS
2,678.4347743048434,500.0,2024-01-01 08:00:02,PASS
3,384.1833362547336,500.0,2024-01-01 08:00:04,PASS
4,332.189368387044,500.0,2024-01-01 08:00:06,PASS
5,2.5504103524260007,500.0,2024-01-01 08:00:08,FAIL
6,774.2063501479414,500.0,2024-01-01 08:00:10,PASS
7,503.76197449165545,500.0,2024-01-01 08:00:12,PASS
8,548.4999582772408,500.0,2024-01-01 08:00:14,PASS
9,351.42292195169364,500.0,2024-01-01 08:00:16,PASS
10,868.2956016672499,500.0,2024-01-01 08:00:18,PASS
11,764.3672431128336,500.0,2024-01-01 08:00:20,PASS
12,473.3274118877919,500.0,2024-01-01 08:00:22,PASS
13,389.3464414908749,500.0,2024-01-01 08:00:24,PASS
14,425.85417505758824,500.0,2024-01-01 08:00:26,PASS
15,349.05398823830666,500.0,2024-01-01 08:00:28,PASS
16,506.01280008613895,500.0,2024-01-01 08:00:30,PASS
17,378.922850834143,500.0,2024-01-01 08:00:32,PASS
18,650.7348304078381,500.0,2024-01-01 08:00:34,PASS
19,425.32230228162507,500.0,2024-01-01 08:00:36,PASS
20,426.378487297298,500.0,2024-01-01 08:00:38,PASS
21,998.6176276890174,500.0,2024-01-01 08:00:40,PASS
22,360.6955725660659,500.0,2024-01-01 08:00:42,PASS
23,246.9154446942103,500.0,2024-01-01 08:00:44,PASS
24,589.5767667570597,500.0,2024-01-01 08:00:46,PASS
25,196.28491826258596,500.0,2024-01-01 08:00:48,PASS
26,563.1682813002143,500.0,2024-01-01 08:00:50,PASS
27,777.7321325626078,500.0,2024-01-01 08:00:52,PASS
28,516.0273986658536,500.0,2024-01-01 08:00:54,PASS
29,502.0912528991161,500.0,2024-01-01 08:00:56,PASS
30,198.70749914947578,500.0,2024-01-01 08:00:58,PASS
31,641.9399457850086,500.0,2024-01-01 08:01:00,PASS
32,597.610828529166,500.0,2024-01-01 08:01:02,PASS
33,295.0689645500304,500.0,2024-01-01 08:01:04,PASS
34,1182.6759860240231,500.0,2024-01-01 08:01:06,PASS
35,288.24211616474855,500.0,2024-01-01 08:01:08,PASS
36,234.84540242799721,500.0,2024-01-01 08:01:10,PASS
37,221.32497619987936,500.0,2024-01-01 08:01:12,PASS
38,505.8777335133885,500.0,2024-01-01 08:01:14,PASS
39,582.1046025144911,500.0,2024-01-01 08:01:16,PASS
40,609.7483666323942,500.0,2024-01-01 08:01:18,PASS
41,429.5748970705829,500.0,2024-01-01 08:01:20,PASS
42,346.854137485512,500.0,2024-01-01 08:01:22,PASS
43,730.5898052528865,500.0,2024-01-01 08:01:24,PASS
44,333.8509628800449,500.0,2024-01-01 08:01:26,PASS
45,290.0867469693313,500.0,2024-01-01 08:01:28,PASS
46,939.3612742222839,500.0,2024-01-01 08:01:30,PASS
47,541.5932600944593,500.0,2024-01-01 08:01:32,PASS
48,618.123670396726,500.0,2024-01-01 08:01:34,PASS
49,662.6430211298918,500.0,2024-01-01 08:01:36,PASS
50,386.5647562890536,500.0,2024-01-01 08:01:38,PASS
