id,power,wavelength,test_time,result
1,50.161873381801875,828.3582573678764,2024-01-01 08:00:00,PASS
2,64.35810009797859,824.8821996451271,2024-01-01 08:00:02,PASS
3,44.92200850277908,833.0052467084594,2024-01-01 08:00:04,PASS
4,57.51028647246258,828.9966049133425,2024-01-01 08:00:06,PASS
5,49.9314776503605,819.5621442927619,2024-01-01 08:00:08,PASS
6,61.61645667208521,818.802198457797,2024-01-01 08:00:10,PASS
7,56.8129618968014,819.0358524596841,2024-01-01 08:00:12,PASS
8,26.551220712767275,811.7468315842631,2024-01-01 08:00:14,PASS
9,64.38203758908466,813.7734620045393,2024-01-01 08:00:16,PASS
10,-28.784288900196245,855.195509316081,2024-01-01 08:00:18,FAIL
11,80.96192377770848,821.8964951004841,2024-01-01 08:00:20,PASS
12,65.88267630382391,832.6031359750398,2024-01-01 08:00:22,PASS
13,63.26798877092,819.5668499713895,2024-01-01 08:00:24,PASS
14,29.033497044932567,823.2644945062358,2024-01-01 08:00:26,PASS
15,77.62827430703959,816.7869115256855,2024-01-01 08:00:28,PASS
16,56.40699091055456,832.4312802552992,2024-01-01 08:00:30,PASS
17,37.2974906607474,821.4473846331638,2024-01-01 08:00:32,PASS
18,59.74755198524956,834.8529901163892,2024-01-01 08:00:34,PASS
19,71.15172199605226,821.7694624629621,2024-01-01 08:00:36,PASS
20,40.31215070818064,833.7372015013016,2024-01-01 08:00:38,PASS
21,69.83818704080849,834.6888129391366,2024-01-01 08:00:40,PASS
22,48.36262575908152,815.0021570302494,2024-01-01 08:00:42,PASS
23,47.12904043732452,826.7088726173993,2024-01-01 08:00:44,PASS
24,52.71705147379848,820.3603017482562,2024-01-01 08:00:46,PASS
25,39.88930847201369,815.509569397387,2024-01-01 08:00:48,PASS
26,60.30878792938033,827.111662372943,2024-01-01 08:00:50,PASS
27,55.036547662630916,828.0833849603189,2024-01-01 08:00:52,PASS
28,65.39568202712056,831.8594884309097,2024-01-01 08:00:54,PASS
29,76.12057527731558,825.7093344008896,2024-01-01 08:00:56,PASS
30,51.41934502457636,830.4843553163786,2024-01-01 08:00:58,PASS
31,66.20617870490474,827.6417433810994,2024-01-01 08:01:00,PASS
32,43.25232920316592,825.4631352824745,2024-01-01 08:01:02,PASS
33,62.020538397357946,819.5209235791003,2024-01-01 08:01:04,PASS
34,40.70463469529097,824.1101121137916,2024-01-01 08:01:06,PASS
35,49.833977539015066,845.2727330215665,2024-01-01 08:01:08,PASS
36,69.66687524805302,823.5851633653472,2024-01-01 08:01:10,PASS
37,50.27718641248442,825.6909876314395,2024-01-01 08:01:12,PASS
38,62.2554121730265,820.7438787582026,2024-01-01 08:01:14,PASS
39,39.871019112038326,833.2128825316125,2024-01-01 08:01:16,PASS
40,50.13373447351631,836.6132088391663,2024-01-01 08:01:18,PASS
41,63.36986171228393,833.674230346384,2024-01-01 08:01:20,PASS
42,68.81087659291346,834.6326044177638,2024-01-01 08:01:22,PASS
43,44.09679209447034,825.4577313689666,2024-01-01 08:01:24,PASS
44,72.88636414195201,834.5393106422881,2024-01-01 08:01:26,PASS
45,64.24742374121165,823.3981149501304,2024-01-01 08:01:28,PASS
46,79.55438494710131,833.3761179032779,2024-01-01 08:01:30,PASS
47,56.26087195036322,835.6411478443749,2024-01-01 08:01:32,PASS
48,45.33357812263223,819.3497979054059,2024-01-01 08:01:34,PASS
49,59.85574501740849,830.8653753983001,2024-01-01 08:01:36,PASS
50,40.534021134949285,817.5645754139518,2024-01-01 08:01:38,PASS
