id,voltage,current,test_time,result
1,3283.974717778395,546.5036281698569,2024-01-01 08:00:00,PASS
2,3278.199946124677,533.2587315214084,2024-01-01 08:00:02,PASS
3,3304.7351509250343,535.161907113431,2024-01-01 08:00:04,PASS
4,3329.5365907832343,475.74510728756354,2024-01-01 08:00:06,PASS
5,3294.8025459146093,474.03830684186954,2024-01-01 08:00:08,PASS
6,3309.1869323649694,516.4919508632875,2024-01-01 08:00:10,PASS
7,3318.6083813317737,482.83990814130345,2024-01-01 08:00:12,PASS
8,3324.1432554954413,505.2115730732298,2024-01-01 08:00:14,PASS
9,3268.7835466539123,474.6360793070842,2024-01-01 08:00:16,PASS
10,3316.4087148513418,520.2798529384423,2024-01-01 08:00:18,PASS
11,3299.3774330042447,497.47872283722535,2024-01-01 08:00:20,PASS
12,3278.9499605599663,492.6006757508957,2024-01-01 08:00:22,PASS
13,3276.2827741468404,551.16211434697,2024-01-01 08:00:24,FAIL
14,3292.0474633619333,503.0793460854368,2024-01-01 08:00:26,PASS
15,3265.2255608482646,480.3994495066121,2024-01-01 08:00:28,PASS
16,3248.938398959255,482.98231788650565,2024-01-01 08:00:30,PASS
17,3302.2315084196066,521.8227880638964,2024-01-01 08:00:32,PASS
18,3327.1081238544048,482.2126536777445,2024-01-01 08:00:34,PASS
19,3291.5603902032176,527.4431116751075,2024-01-01 08:00:36,PASS
20,3325.9016413881127,477.19172102494684,2024-01-01 08:00:38,PASS
21,3286.00120388114,502.2183174869404,2024-01-01 08:00:40,PASS
22,3265.1624094463286,476.88677915184513,2024-01-01 08:00:42,PASS
23,3246.721927076329,516.9827333269084,2024-01-01 08:00:44,PASS
24,3271.2911988663695,519.5673350219026,2024-01-01 08:00:46,PASS
25,3350.864883569833,506.2963342668527,2024-01-01 08:00:48,PASS
26,3292.006324682108,492.63238319553363,2024-01-01 08:00:50,PASS
27,3236.4265028199998,485.73886272267134,2024-01-01 08:00:52,PASS
28,3299.95545201771,493.54498948391347,2024-01-01 08:00:54,PASS
29,3286.4574108745983,473.70482731306737,2024-01-01 08:00:56,PASS
30,3283.3819250294373,482.5903179337401,2024-01-01 08:00:58,PASS
31,3277.5798276933488,520.3110453087218,2024-01-01 08:01:00,PASS
32,3270.4168956949907,487.93423280296975,2024-01-01 08:01:02,PASS
33,3287.0187132791234,497.10519682487114,2024-01-01 08:01:04,PASS
34,3236.485669457759,522.9331355419382,2024-01-01 08:01:06,PASS
35,3259.88336163411,503.94822103921985,2024-01-01 08:01:08,PASS
36,3288.4709820179446,566.5305109002356,2024-01-01 08:01:10,FAIL
37,3326.7487411707916,517.4611436546128,2024-01-01 08:01:12,PASS
38,3316.007489037529,506.8065605615808,2024-01-01 08:01:14,PASS
39,3364.8216976741137,505.3943502557502,2024-01-01 08:01:16,PASS
40,3342.3332107144297,502.0239933248916,2024-01-01 08:01:18,PASS
41,3234.870664396849,524.7198173603236,2024-01-01 08:01:20,PASS
42,3318.4152272476085,529.1379213080689,2024-01-01 08:01:22,PASS
43,3217.736488522623,455.6006448699108,2024-01-01 08:01:24,PASS
44,3307.916248000959,534.0464505924967,2024-01-01 08:01:26,PASS
45,3235.074876951635,513.1477439115005,2024-01-01 08:01:28,PASS
46,3287.2367566669045,492.97103080563323,2024-01-01 08:01:30,PASS
47,3271.3433758249666,514.9176372798986,2024-01-01 08:01:32,PASS
48,3312.920050446117,472.44793639386177,2024-01-01 08:01:34,PASS
49,3340.32726538544,504.5286212524639,2024-01-01 08:01:36,PASS
50,3322.5540422306285,520.7839326816987,2024-01-01 08:01:38,PASS
