id,voltage,current,test_time,result
1,4.954620493515273,0.11824569015941865,2024-01-01 08:00:00,PASS
2,5.155907395734328,0.05644004518425694,2024-01-01 08:00:02,PASS
3,4.957248323472629,0.15109644532409872,2024-01-01 08:00:04,PASS
4,5.08850186821605,0.16775100719943245,2024-01-01 08:00:06,PASS
5,4.8879658783988145,0.03419573170144198,2024-01-01 08:00:08,PASS
6,4.975347493055884,0.04886060544678425,2024-01-01 08:00:10,PASS
7,4.885997353410731,0.107284309390767,2024-01-01 08:00:12,PASS
8,4.959316030891933,0.0840352841623616,2024-01-01 08:00:14,PASS
9,5.100836976494888,0.09908019268498433,2024-01-01 08:00:16,PASS
10,4.792721549216918,0.06255186332405493,2024-01-01 08:00:18,PASS
11,5.052130837225503,0.16220144853054053,2024-01-01 08:00:20,PASS
12,5.028528272279873,0.15338571322570194,2024-01-01 08:00:22,PASS
13,4.928702005316385,0.1036984397841868,2024-01-01 08:00:24,PASS
14,4.826473057473385,0.18588958154376284,2024-01-01 08:00:26,PASS
15,5.008655540925664,0.12932134123245692,2024-01-01 08:00:28,PASS
16,4.936460874912344,0.062337260657502676,2024-01-01 08:00:30,PASS
17,5.027921145362565,0.1224843316900735,2024-01-01 08:00:32,PASS
18,5.002622257462813,0.059014593190417394,2024-01-01 08:00:34,PASS
19,5.19221346695851,0.16211692784651383,2024-01-01 08:00:36,PASS
20,4.971277324703237,0.09729143269903348,2024-01-01 08:00:38,PASS
21,4.877180300885376,0.09033237163412271,2024-01-01 08:00:40,PASS
22,5.021513076194758,0.06876252739253388,2024-01-01 08:00:42,PASS
23,5.026399602076612,0.195892868842496,2024-01-01 08:00:44,PASS
24,5.163102509028852,0.09185203534407096,2024-01-01 08:00:46,PASS
25,5.100213349509749,0.07901122127204477,2024-01-01 08:00:48,PASS
26,5.042824527097941,0.08239269113962734,2024-01-01 08:00:50,PASS
27,5.175596346946348,0.13401345938016984,2024-01-01 08:00:52,PASS
28,4.857348433481258,0.1222617723901179,2024-01-01 08:00:54,PASS
29,4.92322981607003,0.12548335526002485,2024-01-01 08:00:56,PASS
30,4.888810887031337,0.1267379713837372,2024-01-01 08:00:58,PASS
31,4.953222823621308,0.32475672593966526,2024-01-01 08:01:00,PASS
32,4.834797662293243,0.07996922930345514,2024-01-01 08:01:02,PASS
33,5.0762181136177285,0.07544747245110676,2024-01-01 08:01:04,PASS
34,4.973333276348147,0.06391762758890732,2024-01-01 08:01:06,PASS
35,4.8235032446596815,0.14032467831602022,2024-01-01 08:01:08,PASS
36,4.878130510255095,0.1860666507673581,2024-01-01 08:01:10,PASS
37,5.037621661694024,0.09392523413821101,2024-01-01 08:01:12,PASS
38,5.100575188147325,0.06299681210849031,2024-01-01 08:01:14,PASS
39,5.239607707003015,0.06354228039726073,2024-01-01 08:01:16,PASS
40,5.349663495920879,0.1430216788746414,2024-01-01 08:01:18,PASS
41,5.04972913199312,0.15049953284286371,2024-01-01 08:01:20,PASS
42,4.881255425596176,0.1348152110266322,2024-01-01 08:01:22,PASS
43,4.744154446312243,0.06934817613413458,2024-01-01 08:01:24,PASS
44,5.03212537548126,0.11361992802695733,2024-01-01 08:01:26,PASS
45,4.902447068562761,0.106628132177093,2024-01-01 08:01:28,PASS
46,4.950157128778438,0.11278111605497536,2024-01-01 08:01:30,PASS
47,4.926548384112823,0.16149206589319506,2024-01-01 08:01:32,PASS
48,4.983105093630034,0.11308590349422551,2024-01-01 08:01:34,PASS
49,5.127917627694517,0.14526688628609621,2024-01-01 08:01:36,PASS
50,5.018845828093442,0.10378678746169807,2024-01-01 08:01:38,PASS
